Queue Group/Line of Business,Month,Year,Calls Handled,Average Wait Time (minutes),,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Dec,2018,311,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jan,2019,392,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Feb,2019,343,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Mar,2019,476,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Apr,2019,431,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),May,2019,537,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jun,2019,516,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jul,2019,402,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Aug,2019,704,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Sep,2019,539,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Oct,2019,568,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Nov,2019,587,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Dec,2019,856,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jan,2020,428,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Feb,2020,269,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Mar,2020,271,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Apr,2020,267,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),May,2020,281,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jun,2020,322,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jul,2020,270,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Aug,2020,222,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Sep,2020,342,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Oct,2020,456,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Nov,2020,464,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Dec,2020,432,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jan,2021,371,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Feb,2021,271,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Mar,2021,410,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Apr,2021,625,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),May,2021,592,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jun,2021,"1,417",4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jul,2021,331,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Aug,2021,516,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Sep,2021,298,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Oct,2021,200,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Nov,2021,245,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Dec,2021,275,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jan,2022,187,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Feb,2022,225,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Mar,2022,282,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Apr,2022,262,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),May,2022,314,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jun,2022,292,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Jul,2022,232,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Aug,2022,235,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access for Ontarians with Disabilities Act queues  (English + French),Sep,2022,234,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jan,2016,225,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Feb,2016,239,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Mar,2016,242,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Apr,2016,275,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),May,2016,222,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jun,2016,233,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoption Information Disclosure Act queues  (English + French),Jul,2016,217,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
