Queue Group/Line of Business,Month,Year,Calls Handled,Average Wait Time (minutes),,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Ontario Photo Card queues (English + French),Jun,2022,"1,998",1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario Photo Card queues (English + French),Jul,2022,"1,597",1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario Photo Card queues (English + French),Aug,2022,"2,325",5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario Photo Card queues (English + French),Sep,2022,"1,794",5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2016,"118,541",0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2016,"111,136",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2016,"115,461",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2016,"114,520",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2016,"114,069",0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2016,"120,183",0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2016,"117,095",1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2016,"120,203",2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2016,"116,292",1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2016,"111,435",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2016,"115,491",0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2016,"104,297",1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2017,"123,667",1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2017,"112,462",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2017,"128,716",0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2017,"104,057",1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2017,"125,974",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2017,"126,102",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2017,"125,454",0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2017,"131,701",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2017,"118,631",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2017,"134,413",0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2017,"126,578",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2017,"105,309",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2018,"130,223",0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2018,"107,495",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2018,"117,465",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2018,"93,399",0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2018,"108,716",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2018,"105,100",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2018,"108,040",1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2018,"111,742",0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2018,"101,169",1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2018,"108,370",1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2018,"105,414",0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2018,"86,534",0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2019,"111,101",1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2019,"92,661",1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2019,"101,288",1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2019,"95,302",2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2019,"101,678",2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2019,"96,656",2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2019,"104,253",3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2019,"101,939",3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2019,"100,638",3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2019,"106,553",2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2019,"95,699",3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2019,"86,530",2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2020,"105,251",4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2020,"91,222",3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2020,"91,890",3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2020,"84,836",0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2020,"99,040",1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2020,"113,117",1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2020,"120,580",2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2020,"112,646",3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2020,"120,371",4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2020,"114,036",6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2020,"118,601",4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2020,"117,244",2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2021,"119,325",3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2021,"110,136",3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2021,"132,595",3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2021,"111,387",5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2021,"106,696",7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2021,"124,035",3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2021,"107,969",5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2021,"109,341",6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2021,"158,410",2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Oct,2021,"163,714",1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Nov,2021,"178,575",2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Dec,2021,"165,184",2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jan,2022,"183,057",2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Feb,2022,"156,503",1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Mar,2022,"155,676",0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Apr,2022,"114,077",1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),May,2022,"118,442",0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jun,2022,"119,275",1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Jul,2022,"106,608",3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Aug,2022,"120,660",1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Services queues (English + French),Sep,2022,"119,993",1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2016,"2,411",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2016,"2,253",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2016,"2,372",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2016,"2,192",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2016,"2,217",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2016,"2,273",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2016,"1,932",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2016,"2,659",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2016,"2,630",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Oct,2016,"1,931",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Nov,2016,"1,946",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Dec,2016,"1,655",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2017,"2,486",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2017,"2,189",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2017,"2,475",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2017,"1,385",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2017,"1,546",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2017,"1,501",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2017,"1,453",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2017,"1,874",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2017,"1,758",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Oct,2017,"1,649",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Nov,2017,"1,714",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Dec,2017,"1,078",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2018,"1,801",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2018,"1,469",0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2018,"1,540",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2018,"1,237",0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2018,"1,609",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2018,"1,495",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2018,"1,610",0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2018,"1,943",0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2018,"1,655",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Oct,2018,"1,521",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Nov,2018,"1,450",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Dec,2018,988,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jan,2019,"1,685",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Feb,2019,"1,226",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Mar,2019,"1,462",0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Apr,2019,"1,405",0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",May,2019,"1,434",0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jun,2019,"1,377",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Jul,2019,"1,369",0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Aug,2019,"1,630",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Education & Ministry of Training, Colleges and Universities Public Inquiry queues (English + French)",Sep,2019,"1,687",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Oct,2019,"1,467",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Nov,2019,"1,204",0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Dec,2019,900,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Jan,2020,"1,564",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Feb,2020,"1,929",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Mar,2020,"1,686",0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Apr,2020,"11,970",1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),May,2020,"12,353",0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Jun,2020,"8,674",0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Jul,2020,"3,509",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Aug,2020,"6,148",0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Sep,2020,"3,703",0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Oct,2020,"2,755",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Nov,2020,"2,836",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Dec,2020,"7,019",1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Jan,2021,"7,887",1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Feb,2021,"5,114",2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Mar,2021,"7,692",5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Apr,2021,"14,451",10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),May,2021,"4,799",0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Jun,2021,"2,028",0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Jul,2021,"1,428",1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Aug,2021,"1,669",1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Sep,2021,"1,754",1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Oct,2021,"1,146",1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Nov,2021,"1,096",0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Education & Ministry of Colleges and Universities Public Inquiry queues (English + French),Dec,2021,850,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
